experiment_name,model,dataset,test_loss,mae,rmse,mape,params,metadata_run_id,metadata_device,metadata_num_nodes,metadata_seq_len,metadata_horizon,metadata_batch_size,metadata_normalization_stats,metadata_total_configs,metadata_best_result,timestamp
pems-bay_DCRNN_20260306_142338,DCRNN,pems-bay,0.2859407310129976,0.28599652647972107,0.5348814725875854,169.68814086914062,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5, 'use_scheduled_sampling': False, 'teacher_forcing_ratio': 0.5}, 'test_loss': 0.2859407310129976, 'mae': 0.28599652647972107, 'rmse': 0.5348814725875854, 'mape': 169.68814086914062}",2026-03-06T17:30:47.305446
pems-bay_GraphWaveNet_20260306_142338,GraphWaveNet,pems-bay,0.2049346020535425,0.21524350345134735,0.45282214879989624,121.45983123779297,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'dilation_base': 2, 'k': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}, 'test_loss': 0.2049346020535425, 'mae': 0.21524350345134735, 'rmse': 0.45282214879989624, 'mape': 121.45983123779297}",2026-03-06T17:30:47.305725
pems-bay_MTGNN_20260306_142338,MTGNN,pems-bay,0.2577224064498086,0.2404579371213913,0.5078129172325134,135.35540771484375,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_blocks': 3, 'kernel_size': 2, 'dilation_base': 2, 'gcn_depth': 2, 'propalpha': 0.05, 'node_dim': 16, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}, 'test_loss': 0.2577224064498086, 'mae': 0.2404579371213913, 'rmse': 0.5078129172325134, 'mape': 135.35540771484375}",2026-03-06T17:30:47.305954
pems-bay_DGCRN_20260306_142338,DGCRN,pems-bay,0.25019212497640214,0.24431131780147552,0.5003339648246765,164.51795959472656,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'node_dim': 16, 'gcn_depth': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}, 'test_loss': 0.25019212497640214, 'mae': 0.24431131780147552, 'rmse': 0.5003339648246765, 'mape': 164.51795959472656}",2026-03-06T17:30:47.306182
pems-bay_STICformer_20260306_142338,STICformer,pems-bay,0.18763320838716124,0.2036142647266388,0.43329110741615295,123.62567138671875,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}, 'test_loss': 0.18763320838716124, 'mae': 0.2036142647266388, 'rmse': 0.43329110741615295, 'mape': 123.62567138671875}",2026-03-06T17:30:47.306403
pems-bay_PatchSTG_20260306_142338,PatchSTG,pems-bay,0.18909560185968075,0.20754139125347137,0.4349776804447174,123.13182067871094,"{'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}",20260306_142338,cuda,325,12,12,8,"{'method': 'zscore', 'mean': 62.73689571599971, 'std': 9.436833092265356}",1,"{'params': {'input_dim': 1, 'hidden_dim': 64, 'output_dim': 1, 'seq_len': 12, 'horizon': 12, 'patch_len': 4, 'patch_stride': 2, 'num_layers': 2, 'num_heads': 4, 'ff_multiplier': 2, 'dropout': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 200, 'patience': 5}, 'test_loss': 0.18909560185968075, 'mae': 0.20754139125347137, 'rmse': 0.4349776804447174, 'mape': 123.13182067871094}",2026-03-06T17:30:47.306619
