experiment_name,model,dataset,params,num_completed_seeds,seeds,val_mae_mean,val_mae_std,val_mae_ci95_low,val_mae_ci95_high,val_mae_min,val_mae_max,val_mae_n,val_rmse_mean,val_rmse_std,val_rmse_ci95_low,val_rmse_ci95_high,val_rmse_min,val_rmse_max,val_rmse_n,val_mape_mean,val_mape_std,val_mape_ci95_low,val_mape_ci95_high,val_mape_min,val_mape_max,val_mape_n,val_smape_mean,val_smape_std,val_smape_ci95_low,val_smape_ci95_high,val_smape_min,val_smape_max,val_smape_n,val_wape_mean,val_wape_std,val_wape_ci95_low,val_wape_ci95_high,val_wape_min,val_wape_max,val_wape_n,val_loss_normalized_mean,val_loss_normalized_std,val_loss_normalized_ci95_low,val_loss_normalized_ci95_high,val_loss_normalized_min,val_loss_normalized_max,val_loss_normalized_n
original_pems-bay_DCRNN_08_04_2026-00h_18-epoch_2,DCRNN,pems-bay,"{""dropout"": 0.1, ""epochs"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""k"": 2, ""lr"": 0.001, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""teacher_forcing_ratio"": 0.5, ""use_scheduled_sampling"": false, ""weight_decay"": 0.0001}",1,[42],3.0543861389160156,0.0,3.0543861389160156,3.0543861389160156,3.0543861389160156,3.0543861389160156,1,5.765603065490723,0.0,5.765603065490723,5.765603065490723,5.765603065490723,5.765603065490723,1,135070.78125,0.0,135070.78125,135070.78125,135070.78125,135070.78125,1,6.209949016571045,0.0,6.209949016571045,6.209949016571045,6.209949016571045,6.209949016571045,1,4.91810941696167,0.0,4.91810941696167,4.91810941696167,4.91810941696167,4.91810941696167,1,0.3805006933739273,0.0,0.3805006933739273,0.3805006933739273,0.3805006933739273,0.3805006933739273,1
original_pems-bay_GraphWaveNet_08_04_2026-00h_18-epoch_2,GraphWaveNet,pems-bay,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],2.4624099731445312,0.0,2.4624099731445312,2.4624099731445312,2.4624099731445312,2.4624099731445312,1,5.019918441772461,0.0,5.019918441772461,5.019918441772461,5.019918441772461,5.019918441772461,1,134023.75,0.0,134023.75,134023.75,134023.75,134023.75,1,5.0726470947265625,0.0,5.0726470947265625,5.0726470947265625,5.0726470947265625,5.0726470947265625,1,3.964921474456787,0.0,3.964921474456787,3.964921474456787,3.964921474456787,3.964921474456787,1,0.2859050177900893,0.0,0.2859050177900893,0.2859050177900893,0.2859050177900893,0.2859050177900893,1
original_pems-bay_MTGNN_08_04_2026-00h_18-epoch_2,MTGNN,pems-bay,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""output_dim"": 1, ""patience"": 5, ""propalpha"": 0.05, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],2.4620423316955566,0.0,2.4620423316955566,2.4620423316955566,2.4620423316955566,2.4620423316955566,1,5.3279314041137695,0.0,5.3279314041137695,5.3279314041137695,5.3279314041137695,5.3279314041137695,1,133930.71875,0.0,133930.71875,133930.71875,133930.71875,133930.71875,1,5.136213302612305,0.0,5.136213302612305,5.136213302612305,5.136213302612305,5.136213302612305,1,3.964329481124878,0.0,3.964329481124878,3.964329481124878,3.964329481124878,3.964329481124878,1,0.3235010588087323,0.0,0.3235010588087323,0.3235010588087323,0.3235010588087323,0.3235010588087323,1
original_pems-bay_DGCRN_08_04_2026-00h_18-epoch_2,DGCRN,pems-bay,"{""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""lr"": 0.001, ""node_dim"": 16, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],2.886068344116211,0.0,2.886068344116211,2.886068344116211,2.886068344116211,2.886068344116211,1,5.798404693603516,0.0,5.798404693603516,5.798404693603516,5.798404693603516,5.798404693603516,1,132688.53125,0.0,132688.53125,132688.53125,132688.53125,132688.53125,1,5.9534149169921875,0.0,5.9534149169921875,5.9534149169921875,5.9534149169921875,5.9534149169921875,1,4.647087097167969,0.0,4.647087097167969,4.647087097167969,4.647087097167969,4.647087097167969,1,0.38157510725645033,0.0,0.38157510725645033,0.38157510725645033,0.38157510725645033,0.38157510725645033,1
original_pems-bay_STICformer_08_04_2026-00h_18-epoch_2,STICformer,pems-bay,"{""dropout"": 0.1, ""epochs"": 2, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],2.317850351333618,0.0,2.317850351333618,2.317850351333618,2.317850351333618,2.317850351333618,1,4.917978763580322,0.0,4.917978763580322,4.917978763580322,4.917978763580322,4.917978763580322,1,134769.671875,0.0,134769.671875,134769.671875,134769.671875,134769.671875,1,4.795006275177002,0.0,4.795006275177002,4.795006275177002,4.795006275177002,4.795006275177002,1,3.732154607772827,0.0,3.732154607772827,3.732154607772827,3.732154607772827,3.732154607772827,1,0.27682510656645387,0.0,0.27682510656645387,0.27682510656645387,0.27682510656645387,0.27682510656645387,1
original_pems-bay_PatchSTG_08_04_2026-00h_18-epoch_2,PatchSTG,pems-bay,"{""dropout"": 0.1, ""epochs"": 2, ""ff_multiplier"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""lr"": 0.001, ""num_heads"": 4, ""num_layers"": 2, ""output_dim"": 1, ""patch_len"": 4, ""patch_stride"": 2, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],2.276155948638916,0.0,2.276155948638916,2.276155948638916,2.276155948638916,2.276155948638916,1,4.806343078613281,0.0,4.806343078613281,4.806343078613281,4.806343078613281,4.806343078613281,1,134317.625,0.0,134317.625,134317.625,134317.625,134317.625,1,4.736209869384766,0.0,4.736209869384766,4.736209869384766,4.736209869384766,4.736209869384766,1,3.6650192737579346,0.0,3.6650192737579346,3.6650192737579346,3.6650192737579346,3.6650192737579346,1,0.26296468249454,0.0,0.26296468249454,0.26296468249454,0.26296468249454,0.26296468249454,1
original_metr-la_DCRNN_08_04_2026-00h_18-epoch_2,DCRNN,metr-la,"{""dropout"": 0.1, ""epochs"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""k"": 2, ""lr"": 0.001, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""teacher_forcing_ratio"": 0.5, ""use_scheduled_sampling"": false, ""weight_decay"": 0.0001}",1,[42],6.580732345581055,0.0,6.580732345581055,6.580732345581055,6.580732345581055,6.580732345581055,1,11.888473510742188,0.0,11.888473510742188,11.888473510742188,11.888473510742188,11.888473510742188,1,13165211648.0,0.0,13165211648.0,13165211648.0,13165211648.0,13165211648.0,1,25.508987426757812,0.0,25.508987426757812,25.508987426757812,25.508987426757812,25.508987426757812,1,11.999836921691895,0.0,11.999836921691895,11.999836921691895,11.999836921691895,11.999836921691895,1,0.3690603771419437,0.0,0.3690603771419437,0.3690603771419437,0.3690603771419437,0.3690603771419437,1
original_metr-la_GraphWaveNet_08_04_2026-00h_18-epoch_2,GraphWaveNet,metr-la,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""k"": 2, ""lr"": 0.001, ""num_blocks"": 3, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],5.50383996963501,0.0,5.50383996963501,5.50383996963501,5.50383996963501,5.50383996963501,1,11.498563766479492,0.0,11.498563766479492,11.498563766479492,11.498563766479492,11.498563766479492,1,13183409152.0,0.0,13183409152.0,13183409152.0,13183409152.0,13183409152.0,1,23.58922576904297,0.0,23.58922576904297,23.58922576904297,23.58922576904297,23.58922576904297,1,10.036144256591797,0.0,10.036144256591797,10.036144256591797,10.036144256591797,10.036144256591797,1,0.34498775709006524,0.0,0.34498775709006524,0.34498775709006524,0.34498775709006524,0.34498775709006524,1
original_metr-la_MTGNN_08_04_2026-00h_18-epoch_2,MTGNN,metr-la,"{""dilation_base"": 2, ""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""kernel_size"": 2, ""lr"": 0.001, ""node_dim"": 16, ""num_blocks"": 3, ""output_dim"": 1, ""patience"": 5, ""propalpha"": 0.05, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],5.690948009490967,0.0,5.690948009490967,5.690948009490967,5.690948009490967,5.690948009490967,1,11.212380409240723,0.0,11.212380409240723,11.212380409240723,11.212380409240723,11.212380409240723,1,12632709120.0,0.0,12632709120.0,12632709120.0,12632709120.0,12632709120.0,1,24.012596130371094,0.0,24.012596130371094,24.012596130371094,24.012596130371094,24.012596130371094,1,10.37733268737793,0.0,10.37733268737793,10.37733268737793,10.37733268737793,10.37733268737793,1,0.32836349708614526,0.0,0.32836349708614526,0.32836349708614526,0.32836349708614526,0.32836349708614526,1
original_metr-la_DGCRN_08_04_2026-00h_18-epoch_2,DGCRN,metr-la,"{""dropout"": 0.1, ""epochs"": 2, ""gcn_depth"": 2, ""hidden_dim"": 64, ""horizon"": 12, ""input_dim"": 1, ""lr"": 0.001, ""node_dim"": 16, ""output_dim"": 1, ""patience"": 5, ""seq_len"": 12, ""weight_decay"": 0.0001}",1,[42],5.5708537101745605,0.0,5.5708537101745605,5.5708537101745605,5.5708537101745605,5.5708537101745605,1,11.40790843963623,0.0,11.40790843963623,11.40790843963623,11.40790843963623,11.40790843963623,1,14893739008.0,0.0,14893739008.0,14893739008.0,14893739008.0,14893739008.0,1,23.144786834716797,0.0,23.144786834716797,23.144786834716797,23.144786834716797,23.144786834716797,1,10.158343315124512,0.0,10.158343315124512,10.158343315124512,10.158343315124512,10.158343315124512,1,0.339899819896177,0.0,0.339899819896177,0.339899819896177,0.339899819896177,0.339899819896177,1
